Aesthetic Appreciation and Spanish Art:	['3', '0', '4', '3', '-1', '-2']	['amod', 'root', 'cc', 'amod', 'conj', 'punct']
“It’s okay, Gram,” Renata says.	['5', '4', '3', '8', '3', '0', '-1', '-2', '3', '0', '1']	['punct', 'nsubj', 'cop', 'ccomp', 'punct', 'vocative', 'punct', 'punct', 'nsubj', 'root', 'punct']
“Renata,” my mother says.	['3', '7', '1', '0', '3', '3', '0', '1']	['punct', 'ccomp', 'punct', 'punct', 'nmod:poss', 'nsubj', 'root', 'punct']
The doctor has an injection gun and while my mother is focused on my daughter, she puts it firmly against my mother’s arm and puts the chip in.	['3', '3', '0', '4', '3', '-1', '13', '6', '3', '4', '3', '8', '4', '3', '-1', '-2', '3', '-13', '1', '0', '6', '3', '4', '1', '-5', '3', '-7', '3', '0', '-1', '-26']	['det', 'nsubj', 'root', 'det', 'compound', 'obj', 'cc', 'mark', 'nmod:poss', 'nsubj:pass', 'aux:pass', 'advcl', 'case', 'nmod:poss', 'obl', 'punct', 'nsubj', 'conj', 'obj', 'advmod', 'case', 'nmod:poss', 'nmod:poss', 'case', 'obl', 'cc', 'conj', 'det', 'obj', 'compound:prt', 'punct']
“Oh!” says my mother.	['3', '5', '1', '0', '0', '3', '0', '-1']	['punct', 'ccomp', 'punct', 'punct', 'root', 'nmod:poss', 'nsubj', 'punct']
It’s another low-grade moment of horror, but I think about that particular time with my mother because Renata was there and we were united, she and I.	['6', '5', '4', '3', '0', '3', '0', '5', '4', '3', '-4', '5', '4', '3', '-2', '4', '3', '-1', '5', '4', '3', '-9', '5', '4', '3', '-2', '3', '0', '3', '0', '-24']	['nsubj', 'cop', 'det', 'amod', 'root', 'case', 'nmod', 'punct', 'cc', 'nsubj', 'conj', 'case', 'det', 'amod', 'obl', 'case', 'nmod:poss', 'nmod', 'mark', 'nsubj', 'cop', 'advcl', 'cc', 'nsubj:pass', 'aux:pass', 'conj', 'punct', 'dislocated', 'cc', 'conj', 'punct']
So that’s a good memory.	['7', '6', '5', '4', '3', '0', '1']	['advmod', 'nsubj', 'cop', 'det', 'amod', 'root', 'punct']
I come back to it a lot.	['3', '0', '1', '3', '-1', '3', '-3', '-4']	['nsubj', 'root', 'advmod', 'case', 'obl', 'det', 'obl:npmod', 'punct']
In the background, shining, is Renata, who is young and healthy and good, raising her arm to show her grandmother that the chip is nothing, nothing at all.	['4', '3', '6', '1', '4', '1', '0', '1', '5', '4', '3', '-2', '3', '0', '3', '-2', '3', '-9', '3', '0', '3', '-2', '3', '0', '6', '3', '4', '3', '-5', '3', '0', '3', '0', '-25']	['case', 'det', 'obl', 'punct', 'advcl', 'punct', 'root', 'nsubj', 'punct', 'nsubj', 'cop', 'acl:relcl', 'cc', 'conj', 'cc', 'conj', 'punct', 'advcl', 'nmod:poss', 'obj', 'mark', 'advcl', 'nmod:poss', 'obj', 'mark', 'det', 'nsubj', 'cop', 'ccomp', 'punct', 'appos', 'case', 'nmod', 'punct']
The last two nights I have dreamed of dogs in trouble.	['5', '4', '3', '5', '4', '3', '0', '3', '0', '3', '0', '-3']	['det', 'amod', 'nummod', 'obl:tmod', 'nsubj', 'aux', 'root', 'case', 'obl', 'case', 'nmod', 'punct']
I don’t dream about Renata, although when the dreams wake me up, it’s thinking about Renata that keeps me awake.	['5', '4', '3', '0', '3', '0', '13', '12', '5', '3', '3', '8', '1', '0', '-1', '4', '3', '-12', '3', '0', '3', '-2', '1', '0', '-19']	['nsubj', 'aux', 'advmod', 'root', 'case', 'obl', 'punct', 'mark', 'mark', 'det', 'nsubj', 'advcl', 'obj', 'compound:prt', 'punct', 'nsubj', 'cop', 'advcl', 'case', 'obl', 'nsubj', 'acl:relcl', 'obj', 'xcomp', 'punct']
The first night I dreamed of seeing a stray dog and not stopping to pick it up although it was wandering in an empty parking lot near a busy road.	['4', '3', '4', '3', '0', '3', '0', '4', '3', '-1', '4', '3', '-4', '3', '0', '1', '0', '5', '4', '3', '-6', '6', '5', '4', '3', '-3', '5', '4', '3', '-2', '-24']	['det', 'amod', 'obl:tmod', 'nsubj', 'root', 'mark', 'advcl', 'det', 'amod', 'obj', 'cc', 'advmod', 'conj', 'mark', 'xcomp', 'obj', 'compound:prt', 'mark', 'nsubj', 'aux', 'advcl', 'case', 'det', 'amod', 'compound', 'obl', 'case', 'det', 'amod', 'nmod', 'punct']
That was the first night Renata didn’t come home and it doesn’t take Freud to figure out what that meant.	['6', '5', '4', '3', '0', '5', '4', '3', '-2', '1', '6', '5', '4', '3', '-8', '1', '3', '-1', '1', '4', '3', '-2', '-16']	['nsubj', 'cop', 'det', 'amod', 'root', 'nsubj', 'aux', 'advmod', 'acl:relcl', 'advmod', 'cc', 'nsubj', 'aux', 'advmod', 'conj', 'obj', 'mark', 'xcomp', 'compound:prt', 'obj', 'nsubj', 'ccomp', 'punct']
Seventeen-year-olds sleep on friends’ couches, I know.	['3', '9', '5', '4', '1', '-2', '-3', '3', '0', '1']	['nsubj', 'ccomp', 'case', 'nmod:poss', 'case', 'obl', 'punct', 'nsubj', 'root', 'punct']
Or Renata might be sleeping in her car.	['6', '5', '4', '3', '0', '4', '3', '-1', '-2']	['cc', 'nsubj', 'aux', 'aux', 'root', 'case', 'nmod:poss', 'obl', 'punct']
The second night I dreamed that I was on a desert island and Sonia, our golden retriever, was with me.	['4', '3', '4', '3', '0', '8', '7', '6', '5', '4', '3', '-5', '9', '8', '5', '4', '3', '-2', '-3', '-6', '3', '0', '-16']	['det', 'amod', 'obl:tmod', 'nsubj', 'root', 'mark', 'nsubj', 'cop', 'case', 'det', 'compound', 'ccomp', 'cc', 'nsubj', 'punct', 'nmod:poss', 'amod', 'appos', 'punct', 'conj', 'case', 'obl', 'punct']
There was some horrible fate impending for Sonia and I had to kill her before something worse happened.	['3', '0', '4', '3', '-1', '1', '3', '0', '4', '3', '-7', '3', '0', '1', '5', '4', '1', '-3', '-15']	['expl', 'root', 'det', 'amod', 'nsubj', 'acl', 'case', 'obl', 'cc', 'nsubj', 'conj', 'mark', 'xcomp', 'obj', 'mark', 'nsubj', 'amod', 'advcl', 'punct']
I laid her down on some sticks.	['3', '0', '1', '0', '4', '3', '-3', '-4']	['nsubj', 'root', 'obj', 'compound:prt', 'case', 'det', 'obl', 'punct']
She trusts me, she’s more my dog than anyone’s, and she didn’t like it but for me she lay there.	['3', '0', '1', '7', '6', '5', '4', '3', '-5', '3', '0', '1', '7', '6', '5', '4', '3', '-14', '1', '6', '3', '4', '3', '-4', '1', '-22']	['nsubj', 'root', 'obj', 'punct', 'nsubj', 'cop', 'advmod', 'nmod:poss', 'parataxis', 'case', 'nmod', 'case', 'punct', 'cc', 'nsubj', 'aux', 'advmod', 'conj', 'obj', 'cc', 'case', 'obl', 'nsubj', 'conj', 'advmod', 'punct']
In my dream I told her, “Stay, Sonia. Stay.”	['4', '3', '4', '3', '0', '1', '4', '3', '-2', '3', '0', '-1', '-2', '-3', '-4']	['case', 'nmod:poss', 'obl', 'nsubj', 'root', 'iobj', 'punct', 'punct', 'ccomp', 'punct', 'vocative', 'punct', 'parataxis', 'punct', 'punct']
She stayed because I held her there by looking at her, the way you can sometimes will a dog into submission.	['3', '0', '4', '3', '-1', '1', '0', '3', '-2', '3', '0', '4', '3', '-3', '5', '4', '3', '-2', '3', '0', '3', '-2', '-19']	['nsubj', 'root', 'mark', 'nsubj', 'advcl', 'obj', 'advmod', 'mark', 'advcl', 'case', 'obl', 'punct', 'det', 'obl:npmod', 'nsubj', 'aux', 'advmod', 'acl:relcl', 'det', 'obj', 'case', 'obl', 'punct']
She stayed while I lit the fire.	['3', '0', '4', '3', '-1', '3', '0', '-4']	['nsubj', 'root', 'mark', 'nsubj', 'advcl', 'det', 'obj', 'punct']
And then the horror of it all hit me and I said, “Sonia, up!”	['13', '8', '3', '6', '3', '0', '1', '0', '1', '4', '3', '-2', '6', '5', '4', '1', '-3', '1', '0']	['cc', 'obl:tmod', 'det', 'nsubj', 'case', 'nmod', 'det', 'root', 'obj', 'cc', 'nsubj', 'conj', 'punct', 'punct', 'vocative', 'punct', 'ccomp', 'punct', 'punct']
And I woke up.	['4', '3', '0', '1', '0']	['cc', 'nsubj', 'root', 'compound:prt', 'punct']
That was last night, the second night Renata didn’t come home.	['5', '4', '3', '0', '5', '4', '3', '-2', '5', '4', '3', '-2', '1', '-8']	['nsubj', 'cop', 'amod', 'root', 'punct', 'det', 'amod', 'appos', 'nsubj', 'aux', 'advmod', 'acl:relcl', 'advmod', 'punct']
Prologue	['0']	['root']
"""Try to touch the past."	['3', '0', '3', '0', '3', '0', '-3']	['punct', 'root', 'mark', 'xcomp', 'det', 'obj', 'punct']
Try to deal with the past.	['0', '3', '0', '4', '3', '-1', '-4']	['root', 'mark', 'xcomp', 'case', 'det', 'obl', 'punct']
It's not real.	['5', '4', '3', '0', '1']	['nsubj', 'cop', 'advmod', 'root', 'punct']
"It's just a dream."""	['6', '5', '4', '3', '0', '1', '0']	['nsubj', 'cop', 'advmod', 'det', 'root', 'punct', 'punct']
— Ted Bundy	['3', '0', '1']	['punct', 'root', 'flat']
It didn't start out here.	['5', '4', '3', '0', '3', '0', '-1']	['nsubj', 'aux', 'advmod', 'root', 'case', 'obl', 'punct']
Not with the scramblers or Rorschach, not with Big Ben or Theseus or the vampires.	['5', '4', '3', '0', '3', '0', '6', '5', '4', '3', '-5', '3', '0', '4', '3', '-3', '-11']	['advmod', 'case', 'det', 'root', 'cc', 'conj', 'punct', 'advmod', 'case', 'amod', 'parataxis', 'cc', 'conj', 'cc', 'det', 'conj', 'punct']
Most people would say it started with the Fireflies, but they'd be wrong.	['3', '4', '3', '0', '3', '0', '4', '3', '-1', '7', '6', '5', '4', '3', '-9', '-10']	['amod', 'nsubj', 'aux', 'root', 'nsubj', 'ccomp', 'case', 'det', 'obl', 'punct', 'cc', 'nsubj', 'aux', 'cop', 'conj', 'punct']
It ended with all those things.	['3', '0', '5', '4', '3', '-2', '-3']	['nsubj', 'root', 'case', 'det:predet', 'det', 'obl', 'punct']
For me, it began with Robert Paglino.	['3', '5', '1', '3', '0', '3', '0', '1', '-2']	['case', 'obl', 'punct', 'nsubj', 'root', 'case', 'obl', 'flat', 'punct']
At the age of eight, he was my best and only friend.	['4', '3', '12', '3', '0', '-1', '8', '7', '6', '5', '3', '0', '0', '1']	['case', 'det', 'nmod', 'case', 'nmod', 'punct', 'nsubj', 'cop', 'nmod:poss', 'amod', 'cc', 'conj', 'root', 'punct']
We were fellow outcasts, bound by complementary misfortune.	['5', '4', '3', '0', '3', '0', '4', '3', '-1', '-4']	['nsubj', 'cop', 'amod', 'root', 'punct', 'acl', 'case', 'amod', 'obl', 'punct']
Mine was developmental.	['4', '3', '0', '1']	['nsubj', 'cop', 'root', 'punct']
His was genetic: an uncontrolled genotype that left him predisposed to nearsightedness, acne, and (as it later turned out) a susceptibility to narcotics.	['4', '3', '0', '5', '4', '3', '-2', '3', '0', '1', '0', '3', '0', '3', '0', '12', '11', '6', '5', '4', '3', '6', '1', '0', '3', '-11', '3', '0', '-24']	['nsubj', 'cop', 'root', 'punct', 'det', 'amod', 'obl:npmod', 'nsubj', 'acl:relcl', 'obj', 'xcomp', 'case', 'obl', 'punct', 'conj', 'punct', 'cc', 'punct', 'mark', 'nsubj', 'advmod', 'orphan', 'compound:prt', 'punct', 'det', 'conj', 'case', 'nmod', 'punct']
His parents had never had him optimized.	['3', '5', '4', '3', '0', '1', '0', '-1']	['nmod:poss', 'nsubj', 'aux', 'advmod', 'root', 'obj', 'xcomp', 'punct']
Those few TwenCen relics who still believed in God also held that one shouldn't try to improve upon His handiwork.	['5', '4', '3', '9', '4', '3', '-1', '3', '0', '3', '0', '6', '5', '4', '3', '-3', '3', '0', '1', '3', '-1', '-9']	['det', 'amod', 'compound', 'nsubj', 'nsubj', 'advmod', 'acl:relcl', 'case', 'obl', 'advmod', 'root', 'mark', 'nsubj', 'aux', 'advmod', 'ccomp', 'mark', 'xcomp', 'compound:prt', 'nmod:poss', 'obj', 'punct']
So although both of us could have been repaired, only one of us had been.	['17', '9', '8', '3', '0', '5', '4', '3', '9', '1', '3', '6', '3', '0', '3', '0', '1']	['advmod', 'mark', 'nsubj:pass', 'case', 'nmod', 'aux', 'aux', 'aux:pass', 'advcl', 'punct', 'advmod', 'nsubj:pass', 'case', 'nmod', 'aux', 'root', 'punct']
I arrived at the playground to find Pag the center of attention for some half-dozen kids, those lucky few in front punching him in the head, the others making do with taunts of mongrel and polly while waiting their turn.	['3', '0', '4', '3', '-1', '3', '-3', '1', '3', '-1', '3', '0', '5', '4', '3', '-4', '8', '4', '3', '5', '3', '0', '-5', '1', '4', '3', '-2', '5', '3', '3', '-13', '1', '3', '0', '3', '0', '3', '0', '3', '-7', '3', '0', '-39']	['nsubj', 'root', 'case', 'det', 'obl', 'mark', 'advcl', 'obj', 'det', 'xcomp', 'case', 'nmod', 'case', 'det', 'nummod', 'nmod', 'punct', 'det', 'amod', 'nsubj', 'case', 'obl', 'acl', 'obj', 'case', 'det', 'obl', 'punct', 'det', 'nsubj', 'acl', 'xcomp', 'case', 'obl', 'case', 'nmod', 'cc', 'conj', 'mark', 'advcl', 'nmod:poss', 'obj', 'punct']
I watched him raise his arms, almost hesitantly, to ward off the worst of the blows.	['3', '0', '1', '0', '3', '0', '4', '3', '-3', '4', '3', '-6', '1', '3', '-1', '4', '3', '-1', '-15']	['nsubj', 'root', 'obj', 'xcomp', 'nmod:poss', 'obj', 'punct', 'advmod', 'advmod', 'punct', 'mark', 'advcl', 'compound:prt', 'det', 'obj', 'case', 'det', 'obl', 'punct']
I could see into his head better than I could see into my own; he was scared that his attackers might think those hands were coming up to hit back, that they'd read it as an act of defiance and hurt him even more.	['4', '3', '0', '4', '3', '-1', '-2', '5', '4', '3', '-2', '4', '3', '-1', '5', '4', '3', '-13', '6', '3', '4', '3', '-3', '3', '4', '3', '-2', '1', '3', '-1', '1', '6', '5', '4', '3', '-16', '1', '4', '3', '-2', '3', '0', '3', '-6', '1', '3', '-1', '-43']	['nsubj', 'aux', 'root', 'case', 'nmod:poss', 'obl', 'advmod', 'mark', 'nsubj', 'aux', 'advcl', 'case', 'nmod:poss', 'obl', 'punct', 'nsubj', 'cop', 'parataxis', 'mark', 'nmod:poss', 'nsubj', 'aux', 'ccomp', 'det', 'nsubj', 'aux', 'ccomp', 'advmod', 'mark', 'advcl', 'advmod', 'punct', 'mark', 'nsubj', 'aux', 'ccomp', 'obj', 'case', 'det', 'obl', 'case', 'nmod', 'cc', 'conj', 'obj', 'advmod', 'advmod', 'punct']
Even then, at the tender age of eight and with half my mind gone, I was becoming a superlative observer.	['3', '19', '1', '5', '4', '3', '14', '3', '0', '7', '6', '4', '3', '3', '-9', '-7', '4', '3', '0', '4', '3', '-1', '-2']	['advmod', 'advmod', 'punct', 'case', 'det', 'amod', 'obl', 'case', 'nmod', 'cc', 'mark', 'det:predet', 'nmod:poss', 'nsubj', 'conj', 'punct', 'nsubj', 'aux', 'root', 'det', 'amod', 'obj', 'punct']
But I didn't know what to do.	['6', '5', '4', '3', '0', '4', '3', '-1', '-2']	['cc', 'nsubj', 'aux', 'advmod', 'root', 'obj', 'mark', 'xcomp', 'punct']
I hadn't seen much of Pag lately.	['5', '4', '3', '0', '1', '3', '0', '-2', '-3']	['nsubj', 'aux', 'advmod', 'root', 'obj', 'case', 'nmod', 'advmod', 'punct']
I was pretty sure he'd been avoiding me.	['5', '4', '3', '0', '5', '4', '3', '-2', '1', '-4']	['nsubj', 'cop', 'advmod', 'root', 'nsubj', 'aux', 'aux', 'ccomp', 'obj', 'punct']
Still, when your best friend's in trouble you help out, right?	['12', '1', '8', '4', '3', '5', '4', '3', '4', '3', '0', '1', '3', '-1', '-2']	['advmod', 'punct', 'mark', 'nmod:poss', 'amod', 'nsubj', 'cop', 'case', 'advcl', 'nsubj', 'root', 'compound:prt', 'punct', 'discourse', 'punct']
Even if the odds are impossible — and how many eight-year-olds would go up against six bigger kids for a sandbox buddy? — at least you call for backup.	['7', '6', '3', '4', '3', '24', '8', '7', '3', '3', '4', '3', '-5', '1', '5', '4', '3', '-3', '5', '4', '3', '-7', '-15', '-16', '5', '1', '3', '0', '3', '0', '-1']	['advmod', 'mark', 'det', 'nsubj', 'cop', 'advcl', 'punct', 'cc', 'advmod', 'amod', 'nsubj', 'aux', 'conj', 'advmod', 'case', 'nummod', 'amod', 'obl', 'case', 'det', 'compound', 'obl', 'punct', 'punct', 'advmod', 'fixed', 'nsubj', 'root', 'case', 'obl', 'punct']
Flag a sentry.	['0', '3', '0', '-1']	['root', 'det', 'obj', 'punct']
Something.	['0', '1']	['root', 'punct']
I just stood there.	['4', '3', '0', '1', '0']	['nsubj', 'advmod', 'root', 'advmod', 'punct']
I didn't even especially want to help him.	['7', '6', '5', '4', '3', '0', '3', '0', '1', '-2']	['nsubj', 'aux', 'advmod', 'advmod', 'advmod', 'root', 'mark', 'xcomp', 'obj', 'punct']
That didn't make sense.	['5', '4', '3', '0', '1', '0']	['nsubj', 'aux', 'advmod', 'root', 'obj', 'punct']
Even if he hadn't been my best friend, I should at least have empathized.	['10', '9', '8', '7', '6', '5', '4', '3', '9', '1', '7', '6', '5', '1', '3', '0', '1']	['advmod', 'mark', 'nsubj', 'aux', 'advmod', 'cop', 'nmod:poss', 'amod', 'advcl', 'punct', 'nsubj', 'aux', 'advmod', 'fixed', 'aux', 'root', 'punct']
I'd suffered less than Pag in the way of overt violence; my seizures tended to keep the other kids at a distance, scared them even as they incapacitated me.	['4', '3', '0', '1', '3', '0', '4', '3', '-4', '4', '3', '-1', '5', '3', '3', '-11', '3', '0', '4', '3', '-1', '4', '3', '-4', '3', '-8', '1', '5', '4', '3', '-3', '1', '-28']	['nsubj', 'aux', 'root', 'advmod', 'case', 'nmod', 'case', 'det', 'obl', 'case', 'amod', 'nmod', 'punct', 'nmod:poss', 'nsubj', 'parataxis', 'mark', 'xcomp', 'det', 'amod', 'obj', 'case', 'det', 'obl', 'punct', 'parataxis', 'obj', 'advmod', 'mark', 'nsubj', 'advcl', 'obj', 'punct']
Still.	['0', '1']	['root', 'punct']
I was no stranger to the taunts and insults, or the foot that appears from nowhere to trip you up en route from A to B.	['5', '4', '3', '0', '4', '3', '-1', '3', '0', '5', '4', '3', '-4', '3', '0', '3', '0', '3', '-2', '1', '0', '3', '-2', '3', '0', '3', '-2', '-22']	['nsubj', 'cop', 'det', 'root', 'case', 'det', 'nmod', 'cc', 'conj', 'punct', 'cc', 'det', 'conj', 'nsubj', 'acl:relcl', 'case', 'obl', 'mark', 'advcl', 'obj', 'compound:prt', 'case', 'obl', 'case', 'nmod', 'case', 'nmod', 'punct']
I knew how that felt.	['3', '0', '4', '3', '-1', '-2']	['nsubj', 'root', 'mark', 'nsubj', 'ccomp', 'punct']
Or I had, once.	['4', '3', '0', '3', '0', '-1']	['cc', 'nsubj', 'root', 'punct', 'advmod', 'punct']
But that part of me had been cut out along with the bad wiring.	['9', '3', '7', '3', '0', '4', '3', '0', '1', '6', '5', '4', '3', '-4', '-5']	['cc', 'det', 'nsubj:pass', 'case', 'nmod', 'aux', 'aux:pass', 'root', 'compound:prt', 'mark', 'case', 'det', 'amod', 'advcl', 'punct']
I was still working up the algorithms to get it back, still learning by observation.	['5', '4', '3', '0', '1', '3', '-1', '3', '0', '1', '0', '4', '3', '-8', '3', '0', '-11']	['nsubj', 'aux', 'advmod', 'root', 'compound:prt', 'det', 'obj', 'mark', 'acl', 'obj', 'advmod', 'punct', 'advmod', 'parataxis', 'case', 'obl', 'punct']
Pack animals always tear apart the weaklings in their midst.	['3', '4', '3', '0', '1', '3', '-1', '4', '3', '-1', '-5']	['compound', 'nsubj', 'advmod', 'root', 'advmod', 'det', 'obj', 'case', 'nmod:poss', 'nmod', 'punct']
Every child knows that much instinctively.	['3', '3', '0', '3', '0', '-1', '-2']	['det', 'nsubj', 'root', 'det', 'obj', 'advmod', 'punct']
Maybe I should just let that process unfold, maybe I shouldn't try to mess with nature.	['6', '5', '4', '3', '0', '3', '0', '-1', '7', '6', '5', '4', '3', '-7', '3', '0', '3', '0', '-12']	['advmod', 'nsubj', 'aux', 'advmod', 'root', 'det', 'obj', 'xcomp', 'punct', 'advmod', 'nsubj', 'aux', 'advmod', 'parataxis', 'mark', 'xcomp', 'case', 'obl', 'punct']
Then again, Pag's parents hadn't messed with nature, and look what it got them: a son curled up in the dirt while a bunch of engineered superboys kicked in his ribs.	['10', '9', '1', '4', '1', '5', '4', '3', '0', '3', '0', '4', '3', '-3', '4', '3', '-1', '1', '4', '3', '-10', '1', '1', '4', '3', '-2', '8', '3', '6', '4', '3', '-1', '-9', '1', '3', '-1', '-26']	['advmod', 'advmod', 'punct', 'nmod:poss', 'case', 'nsubj', 'aux', 'advmod', 'root', 'case', 'obl', 'punct', 'cc', 'conj', 'obj', 'nsubj', 'ccomp', 'iobj', 'punct', 'det', 'parataxis', 'acl', 'compound:prt', 'case', 'det', 'obl', 'mark', 'det', 'nsubj', 'case', 'amod', 'nmod', 'advcl', 'compound:prt', 'nmod:poss', 'obj', 'punct']
In the end, propaganda worked where empathy failed.	['4', '3', '5', '1', '3', '0', '4', '3', '-1', '-2']	['case', 'det', 'obl', 'punct', 'nsubj', 'root', 'mark', 'nsubj', 'advcl', 'punct']
Back then I didn't so much think as observe, didn't deduce so much as remember — and what I remembered was a thousand inspirational stories lauding anyone who ever stuck up for the underdog.	['3', '8', '7', '6', '5', '3', '3', '0', '3', '-1', '5', '4', '3', '-4', '3', '0', '3', '0', '11', '10', '9', '3', '0', '6', '3', '4', '3', '-18', '1', '1', '4', '3', '-1', '1', '4', '3', '-2', '-28']	['advmod', 'advmod', 'nsubj', 'aux', 'advmod', 'advmod', 'advmod', 'root', 'case', 'nmod', 'punct', 'aux', 'advmod', 'parataxis', 'advmod', 'advmod', 'case', 'nmod', 'punct', 'cc', 'nsubj', 'nsubj', 'acl:relcl', 'cop', 'det', 'nummod', 'amod', 'conj', 'acl', 'obj', 'nsubj', 'advmod', 'acl:relcl', 'compound:prt', 'case', 'det', 'obl', 'punct']
So I picked up a rock the size of my fist and hit two of Pag's assailants across the backs of their heads before anyone even knew I was in the game.	['4', '3', '0', '1', '3', '-1', '3', '0', '4', '3', '-1', '3', '-8', '1', '5', '4', '1', '-2', '4', '3', '-6', '4', '3', '-1', '5', '4', '3', '-23', '6', '5', '4', '3', '-3', '-29']	['advmod', 'nsubj', 'root', 'compound:prt', 'det', 'obj', 'det', 'acl:relcl', 'case', 'nmod:poss', 'nmod', 'cc', 'conj', 'obj', 'case', 'nmod:poss', 'case', 'nmod', 'case', 'det', 'obl', 'case', 'nmod:poss', 'nmod', 'mark', 'nsubj', 'advmod', 'advcl', 'nsubj', 'cop', 'case', 'det', 'ccomp', 'punct']
A third, turning to face the new threat, took a blow to the face that audibly crunched the bones of his cheek.	['3', '11', '3', '0', '3', '0', '4', '3', '-1', '-6', '0', '3', '0', '4', '3', '-3', '4', '3', '-4', '3', '0', '4', '3', '-1', '-12']	['det', 'nsubj', 'punct', 'acl', 'mark', 'xcomp', 'det', 'amod', 'obj', 'punct', 'root', 'det', 'obj', 'case', 'det', 'obl', 'nsubj', 'advmod', 'acl:relcl', 'det', 'obj', 'case', 'nmod:poss', 'nmod', 'punct']
I remember wondering why I didn't take any satisfaction from that sound, why it meant nothing beyond the fact I had one less opponent to worry about.	['3', '0', '1', '6', '5', '4', '3', '-3', '3', '0', '4', '3', '-3', '5', '4', '3', '-7', '1', '4', '3', '-1', '3', '0', '4', '3', '-1', '3', '0', '1', '-26']	['nsubj', 'root', 'xcomp', 'mark', 'nsubj', 'aux', 'advmod', 'ccomp', 'det', 'obj', 'case', 'det', 'obl', 'punct', 'mark', 'nsubj', 'parataxis', 'obj', 'case', 'det', 'nmod', 'nsubj', 'acl', 'nummod', 'amod', 'obj', 'mark', 'acl', 'obl', 'punct']
The rest of them ran at the sight of blood.	['3', '5', '3', '0', '0', '4', '3', '-1', '3', '0', '-4']	['det', 'nsubj', 'case', 'nmod', 'root', 'case', 'det', 'obl', 'case', 'nmod', 'punct']
"One of the braver promised me I was dead, shouted ""Fucking zombie!"" over his shoulder as he disappeared around the corner."	['6', '4', '3', '-1', '0', '1', '4', '3', '-2', '3', '-4', '4', '3', '-1', '1', '0', '4', '3', '-6', '4', '3', '-9', '4', '3', '-1', '-19']	['nsubj', 'case', 'det', 'nmod', 'root', 'iobj', 'nsubj', 'cop', 'ccomp', 'punct', 'parataxis', 'punct', 'amod', 'ccomp', 'punct', 'punct', 'case', 'nmod:poss', 'obl', 'mark', 'nsubj', 'advcl', 'case', 'det', 'obl', 'punct']
Three decades it took, to see the irony in that remark.	['3', '4', '3', '0', '4', '3', '-1', '3', '0', '4', '3', '-1', '-7']	['nummod', 'obj', 'expl', 'root', 'punct', 'mark', 'csubj', 'det', 'obj', 'case', 'det', 'nmod', 'punct']
Two of the enemy twitched at my feet.	['6', '4', '3', '-1', '0', '4', '3', '-1', '-2']	['nsubj', 'case', 'det', 'nmod', 'root', 'case', 'nmod:poss', 'obl', 'punct']
I kicked one in the head until it stopped moving, turned to the other.	['3', '0', '1', '4', '3', '-2', '4', '3', '-5', '1', '3', '-1', '4', '3', '-1', '-12']	['nsubj', 'root', 'obj', 'case', 'det', 'obl', 'mark', 'nsubj', 'advcl', 'xcomp', 'punct', 'parataxis', 'case', 'det', 'obl', 'punct']
Something grabbed my arm and I swung without thinking, without looking until Pag yelped and ducked out of reach.	['3', '0', '3', '0', '4', '3', '-3', '3', '0', '4', '3', '-3', '4', '3', '-6', '3', '0', '4', '1', '-1', '-17']	['nsubj', 'root', 'nmod:poss', 'obj', 'cc', 'nsubj', 'conj', 'mark', 'advcl', 'punct', 'mark', 'advcl', 'mark', 'nsubj', 'advcl', 'cc', 'conj', 'case', 'fixed', 'obl', 'punct']
"""Oh,"" I said."	['3', '6', '1', '0', '3', '0', '1']	['punct', 'ccomp', 'punct', 'punct', 'nsubj', 'root', 'punct']
"""Sorry."""	['3', '0', '1', '0']	['punct', 'root', 'punct', 'punct']
One thing lay motionless.	['3', '3', '0', '1', '0']	['nummod', 'nsubj', 'root', 'advcl', 'punct']
The other moaned and held its head and curled up in a ball.	['3', '3', '0', '3', '0', '3', '0', '3', '-4', '1', '4', '3', '-2', '-9']	['det', 'nsubj', 'root', 'cc', 'conj', 'nmod:poss', 'obj', 'cc', 'conj', 'compound:prt', 'case', 'det', 'obl', 'punct']
"""Oh shit,"" Pag panted."	['4', '3', '6', '1', '0', '3', '0', '1']	['punct', 'discourse', 'ccomp', 'punct', 'punct', 'nsubj', 'root', 'punct']
Blood coursed unheeded from his nose and splattered down his shirt.	['3', '0', '1', '4', '3', '-2', '3', '-4', '4', '3', '-1', '-8']	['nsubj', 'root', 'advcl', 'case', 'nmod:poss', 'obl', 'cc', 'conj', 'case', 'nmod:poss', 'obl', 'punct']
His cheek was turning blue and yellow.	['3', '4', '3', '0', '1', '3', '0', '-2']	['nmod:poss', 'nsubj', 'aux', 'root', 'xcomp', 'cc', 'conj', 'punct']
"""Oh shit oh shit oh shit ... """	['4', '3', '0', '3', '0', '3', '-2', '-3', '-4']	['punct', 'discourse', 'root', 'discourse', 'parataxis', 'discourse', 'parataxis', 'punct', 'punct']
I thought of something to say.	['3', '0', '3', '0', '3', '0', '-3']	['nsubj', 'root', 'case', 'obl', 'mark', 'xcomp', 'punct']
"""You all right?"""	['5', '4', '3', '0', '1', '0']	['punct', 'nsubj', 'advmod', 'root', 'punct', 'punct']
